Method,Avg Reward,Avg Viol Rate,Success Rate,Avg Steps,Best Reward,Best Episode
Lagrangian RL,56.13,0.0639,0.780,32.5,170.80,416
Safety Layer,88.05,0.0675,0.995,41.7,170.80,174
